Date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2000-01-01,7.3,3.1,9.0,1.8,229.0,2.3,1024.5
2000-01-02,9.5,8.0,11.0,2.533333333333333,225.0,11.6,1025.2
2000-01-03,9.4,5.6,11.2,2.0,233.0,16.8,1018.5
2000-01-04,5.7,2.8,9.5,3.8,225.0,12.075000000000001,1014.8
2000-01-05,7.1,1.9,10.64,2.9,229.0,15.575000000000003,1018.4200000000001
2000-01-06,8.8,4.3,9.879999999999999,2.9,230.33333333333334,16.900000000000002,1016.7250000000001
2000-01-07,8.8,5.7,11.2,1.9,217.0,17.6,1017.2
2000-01-08,8.3,5.5,10.3,0.0,241.0,16.3,1016.4
2000-01-09,2.9,3.7399999999999998,7.2,0.75,219.5,15.9,1022.35
2000-01-10,1.3,-5.2,6.8,0.0,233.6,5.7,1020.9200000000001
2000-01-11,8.9,7.4,10.1,1.2,213.0,16.7,1032.4
2000-01-12,7.3,5.3,8.3,1.5,207.0,23.2,1023.4
2000-01-13,4.7,2.3,6.4,2.5,290.0,13.8,1015.2
2000-01-14,4.0,1.9,5.9,0.8,350.0,11.6,1022.9
2000-01-15,5.2,3.3,6.7,1.5999999999999999,36.0,12.7,1036.4
2000-01-16,4.6,3.4,6.7,1.3666666666666665,323.0,7.5,1040.2
2000-01-17,5.0,2.0,8.8,0.8,289.0,11.4,1037.6
2000-01-18,6.6,3.8,8.1,0.8,322.0,13.0,1034.9
2000-01-19,6.1,4.1,7.0,0.8,4.0,11.5,1036.8
2000-01-20,4.2,2.1,5.3,1.3666666666666665,275.0,11.1,1034.5
2000-01-21,6.3,5.1,8.7,1.3666666666666665,292.0,12.5,1032.4
2000-01-22,5.4,3.8,7.3,1.8,303.0,20.6,1020.1
2000-01-23,3.6,0.7,6.6,1.5,344.0,14.7,1024.2
2000-01-24,3.7,2.3,4.8,1.65,7.0,8.5,1025.1
2000-01-25,3.9,1.9,5.7,1.65,250.0,7.7,1029.1
2000-01-26,4.6,3.1,7.2,1.5,253.0,9.9,1032.4
2000-01-27,3.0,1.2,6.3,1.5,250.0,11.8,1029.4
2000-01-28,5.9,1.6,8.9,1.5,239.0,21.6,1014.7
2000-01-29,11.5,8.5,13.1,1.2666666666666666,252.0,31.7,1000.0
2000-01-30,12.0,11.1,13.1,1.5,252.0,26.8,1012.6
2000-01-31,11.7,10.8,13.0,1.5,242.0,24.0,1019.9
2000-02-01,10.0,9.4,10.8,0.8,206.0,19.1,1015.1
2000-02-02,7.9,4.9,9.8,1.325,295.0,15.1,1021.1
2000-02-03,7.5,5.7,9.2,1.2666666666666666,243.0,13.0,1033.2
2000-02-04,9.7,8.1,11.3,1.5,234.0,20.6,1031.6
2000-02-05,9.2,7.5,11.9,2.8000000000000003,224.0,15.1,1026.2
2000-02-06,10.5,8.5,12.0,2.8000000000000003,221.0,17.6,1015.9
2000-02-07,8.6,6.3,11.5,5.1,236.0,22.8,1010.2
2000-02-08,9.0,5.0,13.7,1.8,255.0,27.7,1006.0
2000-02-09,7.3,3.6,10.9,4.375,251.0,19.9,1022.2
2000-02-10,7.0,2.5,9.4,4.8,249.0,25.1,1015.5
2000-02-11,6.7,3.2,10.3,4.133333333333334,240.0,14.5,1027.0
2000-02-12,7.9,6.6,9.3,5.8,238.0,21.3,1017.7
2000-02-13,7.6,6.0,9.1,3.7999999999999994,284.0,13.1,1019.9
2000-02-14,3.8,-3.6,9.7,3.3,258.5,8.7,1015.4
2000-02-15,7.5,5.7,9.1,0.8,246.0,16.0,1013.0
2000-02-16,4.4,1.8,8.0,1.4666666666666666,271.0,26.8,1004.3
2000-02-17,5.1,1.4,8.4,1.4666666666666666,272.0,15.3,1010.5
2000-02-18,9.3,7.0,10.8,2.8,256.0,20.3,1002.4
2000-02-19,6.6,4.5,8.0,0.8,324.0,15.6,1014.9
2000-02-20,3.1,-2.6,9.5,1.4,237.4,3.1,1029.7
2000-02-21,6.1,2.8,10.0,0.5,230.8,9.0,1018.2
2000-02-22,6.9,3.8,10.2,1.1500000000000001,146.0,8.0,1023.8
2000-02-23,9.3,6.3,11.6,1.5,189.0,11.4,1025.98
2000-02-24,10.3,7.2,12.2,1.8,239.0,14.4,1020.2
2000-02-25,5.5,2.0,10.1,2.6,266.0,8.3,1027.6
2000-02-26,7.5,4.1,10.3,3.66,215.0,10.8,1028.6
2000-02-27,10.7,9.1,12.0,1.5,212.0,24.6,1015.7
2000-02-28,8.8,6.7,10.6,5.6,241.0,23.0,1009.7
2000-02-29,7.8,5.5,10.1,7.9,238.0,21.06,1015.4200000000001
2000-03-01,5.7,5.183333333333333,9.3,0.8,253.6,22.18,1015.0400000000002
2000-03-02,7.5,3.6,10.8,5.6,240.0,21.5,1016.2
2000-03-03,8.8,4.7,11.1,8.1,282.0,25.4,1006.9
2000-03-04,4.5,1.5,7.3,3.466666666666667,293.0,16.4,1026.7
2000-03-05,6.2,2.7,9.6,3.6999999999999997,251.0,13.3,1031.9
2000-03-06,8.8,5.8,11.3,3.6999999999999997,233.0,16.8,1026.7
2000-03-07,11.6,9.0,14.0,1.5,257.0,24.6,1027.34
2000-03-08,12.5,10.9,14.5,1.5,244.0,23.7,1026.42
2000-03-09,13.6,12.2,16.5,1.5,271.0,22.5,1024.9
2000-03-10,11.4,8.3,13.8,1.5,244.0,16.4,1026.5
2000-03-11,10.7,8.4,13.0,1.5,295.0,15.6,1022.1
2000-03-12,10.3,6.5,14.3,1.5,266.0,10.0,1026.2
2000-03-13,9.5,3.3,13.9,1.5,242.0,7.7,1026.4
2000-03-14,10.5,6.6,13.1,1.5,284.0,22.1,1024.3
2000-03-15,8.2,4.1,12.3,1.5,293.0,15.5,1033.6
2000-03-16,9.5,6.9,11.8,1.5,291.0,12.7,1034.1
2000-03-17,9.2,8.2,10.2,1.5,318.0,10.2,1034.2
2000-03-18,8.3,4.966666666666666,12.366666666666667,1.5,207.0,11.920000000000002,1031.98
2000-03-19,7.5,4.0,11.9,1.5,47.0,11.0,1035.8
2000-03-20,7.6,1.8,13.9,1.5,150.33333333333334,8.7,1023.8800000000001
2000-03-21,8.7,4.8,14.1,2.8,86.0,10.2,1022.2
2000-03-22,8.5,3.0,16.0,2.9,138.5,1.0,1016.6
2000-03-23,10.0,4.5,14.6,2.9,169.0,11.1,1010.6
